item_id,min_price,median,quantity
132239,5099,5099,14
31905,250,355,43
132199,325,325,128
132197,747,747,9
132237,18,19,157
168589,840,2000,14913
183963,118,120,17
198414,195,200,12075
194578,3595,5000,1195
193230,2390,2398,2865
173038,4,4,851
173040,43,445200,179
173043,22,29,622
171439,18,19,871
76561,350,375,24
41432,145,145,18
5470,4,275,3473
172232,98,172,51938
12206,100,17095,1586
23572,160,161,1287
22575,487,608,2095
200786,1989,1989,34
192617,88,90,277
108327,100,225,962
36784,9053,9453,42
193939,31000,36199,6112
32905,1,150002,4764
7082,2437,9970,7556
40195,400,790,2271
193923,124,129,231724
20860,89,91,572
192958,12212,13109,1550
192927,3000,4000,139
193564,159949,159949,75
193958,599,700,962
20865,43,44,603
20882,65,68,70
133576,190,200,6624
205172,99900,100000,12
189148,854,854,270
197783,100,115,26394
193941,387,387,44
183952,238,240,3090
17056,1,10,86764
108323,20,500,1925
152577,185,200,57343
154897,7,7,11750
20859,43,44,498
154164,35,100,4144
98111,400,500,55
153051,22,100,48538
152542,5,100,32348
154898,7,35,3889
20863,44,45,575
152541,66,100,42674
168303,25,31,53167
154722,3,75,35322
199940,500,500,190
199950,500,500,401
193210,99,216,50046
197789,79,79,27710
193050,8,19,555345
201467,348,348,300
192648,175,100075,728
20861,44,45,565
194966,18,38,293524
192624,70,70,284
20864,34,35,453
43467,3,3,35
108996,4,94,21457
177040,19,19,370
194012,4889,4900,3682
38933,10,23,299
172367,98,100,149
172347,90,98,448
12607,587,1073,284
38909,950,950,42
52768,309,309,38
183955,733,833,388
81414,13,13,146
200506,1,55,69606
194571,4553,4753,96
24476,148,298,1066
38782,122,151,49
37603,1292,1293,25
192636,63,106,4554
199216,21969,28000,718
201047,21,521,329
201404,60039,67999,6134
191389,3177,3849,4378
168302,290,383,1668
192674,170,400070,82
44330,400,794,184
40081,50,50,48
40097,350,450,32
201468,1272,1272,23
46378,1199,1199,124
40211,288,500,79
204464,457040,600000,2646
198423,134,134,81944
168638,9000,149800,93
168663,349,7900,5772
89112,360,500,448993
93707,20000,32116,3
124441,875,1220,14886
192647,180,182,90
205115,249991,249991,5
154122,446,500,629
197749,25,48,69507
74847,504,2500,6347
194857,1051,1106,1360
191370,7200,8450,1386
153478,18088,18089,73
3371,1,1,154765
169333,160,174,1691
1707,1,1,173
193927,36,48,609541
191376,100,150,1098
153442,4550,4560,68
168446,15400,16000,165
62783,12,3512,9759
62782,13,29,22139
178786,22,40,8952
172059,30,75,2865
192842,192,248,22281
194049,1599,480091,4132
172057,10,12,6052
158865,127,127,38
155601,36,36,101
194730,10,10,135009
3180,4,5,55
198441,1000,1521,26
137293,34967,50734,204
5134,483,487,16
104127,1200,12500,479
172058,19,30,9958
5115,5,100,38
124440,274,300,13604
5135,94,94,19
25425,50026,315232,23
15414,4999,7500,75
40049,4996,249100,17
25428,15,240017,84
20770,5000,6069,5
5829,9,9,30
20763,362,362,1
199951,500,500,271
35953,8,8,182
199982,500,500,210
197854,76,300,1038
199999,500,500,113
200000,500,500,66
200002,549,585,68
198418,295,297,3880
194850,2900,3120,225
124444,680,1076,8129
20528,40000,4999999,3
201403,1560,2545,2062
192960,19300,19300,89
192921,2459,22259,880
194767,2873,2873,3554
3239,5,6,302
194570,3498,3498,29
192931,7125,10000,100
137250,32985,100000,121
192957,4097,6000,163
5428,500,4900,46
191398,1386,1386,1736
10938,75,108,5555
12360,24900,24928,2355
12799,100,125,1702
201405,74569,74948,8806
197765,137,138,3365
173937,2000,2000,13
204845,499,564,212
8951,600,700,91
108332,120,750,2749
198186,400,450,3015
200022,12267,14363,1730
200944,1372,1599,175
192870,620,12538,26526
133568,882,882,375
133573,177,190,304
200047,38500,38500,36
193470,140,140,33114
142406,50,1405,365
154167,145,2453,727
200005,650,799,74
172061,26,49,828
138967,5,5,1068
199981,1211,1257,217
109133,75,106,12554
12184,10,14,899
133588,33,33,1003
2295,3,4800003,41
4775,50,50,20
162574,1010,1010,11
87764,270,4956,979
4813,50,480050,27
4814,50,50,22
4865,297,4999988,66
163136,1099,1099,7
4872,75,87,10
4875,1023,1203,11
7099,1000,1000,37
7100,6,6,36
54833,75,100,11
55974,5,5,31
62526,5049,10099,6
199970,17400,27200,316
139338,32054,100000,146
201190,333333333,333333333,2
23785,4800,6181,1641
23786,110000,116438,16
204622,399500,399500,36
23448,31528,32129,3535
27858,3,233,571
159464,500,900,136
159466,793,793,55
4389,500,1000,2429
7191,802,802,837
2678,1,1,279785
124121,4,9,242276
22574,1695,1699,7775
191950,3800,3801,3014
191324,400,445300,1413
201400,216,216,38937
192872,3,3,653572
22577,700,3199,9508
30183,175,17200,894
132514,15825,16500,10681
